N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,,,259,Otros,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,,,257,Valor residual,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,79,Impuestos y tasas,238,ITV,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,,,237,Impuesto de circulación,Impuestos y tasas_Impuestos,Impuestos y tasas_Impuestos,Impuestos Y Tasas_Otros
,,,,239,Otros,Otros_Otros,,
,,81,Multas y sanciones,,,Impuestos y tasas_Multas,Impuestos y tasas_Multas,Impuestos Y Tasas_Multas Y Embargos
,,78,Seguro de vehículo,,,Seguros_Automóvil y moto,Seguros_Automóvil y moto,Seguros_Seguro Vehículos
6,Salud,95,Farmacia,,,Salud deporte y educación_Farmacia,Salud y deporte_Farmacias y ópticas,Gastos Profesionales_Sanitarios
,,91,Consultas privadas y hospitalizaciones,,,Salud deporte y educación_Médico,Salud y deporte_Clínicas y hospitales,Gastos Profesionales_Sanitarios
,,476,"Óptica, ortopedia y audiología",,,Salud deporte y educación_Optica,Salud y deporte_Farmacias y ópticas,Gastos Profesionales_Sanitarios
,,96,Otras terapias y tratamientos alternativos,,,Salud deporte y educación_Otros,Salud y deporte_Otros,Gastos Profesionales_Sanitarios
,,90,Seguro de salud,,,Seguros_Seguro salud y dental,Seguros_Seguro salud y dental,Seguros_Seguros De Salud
7,Educacion,332,Papelería y material,,,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,97,Preescolar,324,Transporte,Automóvil y transporte_Transporte público,Automóvil y transporte_Transporte público y colectivo,"Gastos de Representación Y 
de Viaje_Transporte Público"
,,,,326,Uniformes,Compras_Moda,Compras_Moda y complementos,Compras/Gastos_Material y ropa de trabajo
,,,,321,Cuota,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,325,Comedor,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
,,,,328,Otros,Otros_Otros,,
,,,,320,Matrícula,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,327,Equipamiento,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,99,Formación profesional,339,Cuota,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,346,Otros,Otros_Otros,,
,,,,338,Matrícula,Salud deporte y educación_Colegio,Educación_Colegios y guarderías,"Gastos de Representación Y 
de Viaje_Formación"
,,,,345,Equipamiento,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,,,343,Comedor,Ocio_Restauración,Ocio_Restauración,"Gastos de Representación Y 
de Viaje_Restaurantes"
